OBJECTID,shape_id,OBJECTID_1,route_id,trip_id,shape_id_1,OBJECTID_12,route_id_1,route_short_name,route_long_name,route_type,route_color,Shape__Length
1293,109403,,7670,6650736,,,,867,Peyton Forest / Dixie Hills,3,819FF7,0.124403912136265
1294,109404,,7687,6686808,,,,95,Metropolitan Parkway,3,819FF7,0.104281145256445
1295,109405,,7701,6665630,,,,120,East Ponce De Leon Avenue,3,819FF7,0.145707538114913
1296,109406,,7710,6656040,,,,143,Windward Park & Ride,3,819FF7,0.263484792907855
1297,109407,,7649,6648482,,,,25,Peachtree Industrial Boulevard,3,819FF7,0.103346855086108
1298,109408,,7651,6688188,,,,27,Cheshire Bridge Road,3,819FF7,0.0883401014790753
1299,109409,,7665,6670333,,,,55,Jonesboro Road,3,819FF7,0.126252756644094
1300,109410,,7674,6688352,,,,74,Flat Shoals Road,3,819FF7,0.131914556098789
1301,109411,,7662,6680614,,,,50,Donald Lee Hollowell Parkway,3,819FF7,0.133202628330685
1302,109413,,7733,6692361,,,,221,Memorial Drive Limited,3,819FF7,0.0874681482630192
1303,109414,,7639,6680252,,,,6,Clifton Road / Emory,3,819FF7,0.132917494922215
1304,109415,,7650,6685011,,,,26,Marietta Street / Perry Boulevard,3,819FF7,0.1670197467693
1305,109416,,7655,6688051,,,,34,2nd Ave/Gresham Rd/Clifton Spgs Rd,3,819FF7,0.137385498353313
1306,109417,,7673,6651507,,,,73,Fulton Industrial,3,819FF7,0.134255967382656
1307,109418,,7691,6637920,,,,104,Winters Chapel Road,3,819FF7,0.0380790482512583
1308,109419,,7728,6633848,,,,193,Morrow / Jonesboro,3,819FF7,0.346629929231849
1309,109420,,7666,6650722,,,,856,Baker Hills / Wilson Mill Meadows,3,819FF7,0.0178267691552907
1310,109421,,7662,6680607,,,,50,Donald Lee Hollowell Parkway,3,819FF7,0.131497514241119
1311,109422,,7709,6649800,,,,141,Haynes Bridge Road / Milton,3,819FF7,0.252197153629023
1312,109423,,7712,6650775,,,,150,Perimeter Center / Dunwoody Village,3,819FF7,0.0626964193037067
1313,109424,,7712,6671547,,,,150,Perimeter Center / Dunwoody Village,3,819FF7,0.0674633235316536
1314,109425,,7670,6638362,,,,867,Peyton Forest / Dixie Hills,3,819FF7,0.0326255954756687
1315,109426,,7732,6692365,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1316,109427,,7654,6681828,,,,825,Johnson Ferry Road,3,819FF7,0.0657003099666977
1317,109429,,7661,6638391,,,,49,McDonough Boulevard,3,819FF7,0.124274109932694
1318,109430,,7661,6681730,,,,49,McDonough Boulevard,3,819FF7,0.128190025897642
1319,109431,,7708,6661358,,,,140,North Point Parkway,3,819FF7,0.206131878573842
1320,109432,,7721,6644505,,,,181,Washington Road / Fairburn,3,819FF7,0.244114007479364
1321,109433,,7721,6671595,,,,181,Washington Road / Fairburn,3,819FF7,0.25284231522955
1322,109434,,7725,6666238,,,,189,Flat Shoals Road / Scofield Road,3,819FF7,0.169504812444311
1323,109435,,7648,6632291,,,,24,McAfee / Hosea Williams,3,819FF7,0.217650367361256
1324,109436,,7652,6685013,,,,30,LaVista Road,3,819FF7,0.16227094678511
1325,109438,,7660,6637720,,,,47,I-85 Access Road / Briarwood Road,3,819FF7,0.142454810387112
1326,109439,,7675,6660704,,,,75,Lawrenceville Highway,3,819FF7,0.154685386882378
1327,109440,,7716,6665957,,,,165,Fairburn Road,3,819FF7,0.0937967827143506
1328,109441,,7718,6676536,,,,172,Sylvan Road / Virginia Avenue,3,819FF7,0.14435060804159
1329,109442,,7693,6677129,,,,809,Monroe Drive / Boulevard,3,819FF7,0.0937420477282433
1330,109443,,7656,6632323,,,,36,N Decatur Road / Virginia Highland,3,819FF7,0.156149490762187
1331,109444,,7657,6664623,,,,37,Defoors Ferry Road,3,819FF7,0.1029820754799
1332,109445,,7669,6660664,,,,66,Lynhurst Drive / Princeton Lakes,3,819FF7,0.21500157150213
1333,109446,,7698,6654494,,,,116,Redan Road,3,819FF7,0.197742075762631
1334,109447,,7711,6650520,,,,148,Mount Vernon Highway,3,819FF7,0.115455692175359
1335,109448,,7728,6666247,,,,193,Morrow / Jonesboro,3,819FF7,0.309212989996052
