Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
1020144,Big H Food Store  ,Convenience Store,3041,Oakcliff Rd, ,Atlanta,GA,30340,2620,DEKALB,33.91114,-84.26332,10/7/2011,9/27/2021
388156,BIG H FOOD STORE #52  ,Convenience Store,10,Moreland Ave SE, ,Atlanta,GA,30316,1643,DEKALB,33.75305,-84.34916,11/20/1992,8/17/2005
585049,BIG H STORE MARKET  ,Medium Grocery Store,1932,Hosea L Williams Dr NE, ,Atlanta,GA,30317,2222,DEKALB,33.7525,-84.3243,11/1/1993,3/12/2009
1166265,Big Lots 1763,Combination Grocery/Other,3358,Chamblee Tucker Rd, ,Atlanta,GA,30341,4353,DEKALB,33.88559,-84.25542,8/20/2014,2/12/2025
742248,Bilal Halal Meat and Grocery  ,Convenience Store,3408,Clairmont Rd NE, ,Atlanta,GA,30319,3720,DEKALB,33.85902,-84.31163,3/9/2005,11/13/2016
1386584,Bis H Food Store  ,Convenience Store,4301,N Shallowford Rd, ,Atlanta,GA,30341,1182,DEKALB,33.91915,-84.30417,12/18/2019,11/5/2023
633628,BISMILLAH SUPERMARKET  ,Medium Grocery Store,4022,Buford Hwy NE, ,Atlanta,GA,30345,1649,DEKALB,33.86055,-84.30914,2/19/2003,9/29/2009
578848,BOBBY FOOD MART II  ,Convenience Store,1870,Glenwood Ave SE, ,Atlanta,GA,30316,2312,DEKALB,33.73984,-84.32662,7/16/2004,1/17/2013
1128941,Bouldercrest Exxon  ,Convenience Store,2701,Bouldercrest Rd Se,Ste A,Atlanta,GA,30316,4860,DEKALB,33.68195,-84.30889,1/15/2014,11/23/2014
1174339,Bouldercrest Exxon  ,Convenience Store,2701,Bouldercrest Rd Se,Ste A,Atlanta,GA,30316,4860,DEKALB,33.68195,-84.30889,12/18/2014,10/6/2015
1216671,Bouldercrest Exxon  ,Convenience Store,2701,Bouldercrest Rd SE,Ste A,Atlanta,GA,30316,4860,DEKALB,33.68195,-84.30889,10/14/2015,8/13/2017
1412705,Bp Food Mart  ,Convenience Store,5048,Buford Hwy,,Atlanta,GA,30341,2997,DEKALB,33.89016,-84.28631,10/3/2020,9/14/2021
1078570,BP Food Shop  ,Convenience Store,1111,Moreland Ave Se, ,Atlanta,GA,30316,3182,DEKALB,33.72444,-84.34947,4/19/2013,4/5/2021
913526,BP Gas Station  ,Convenience Store,1989,Hosea L Williams Dr SE, ,Atlanta,GA,30317,2223,DEKALB,33.75092,-84.32286,9/9/2009, 
927372,BP NORTH PEACHTREE  ,Convenience Store,4368,N Peachtree Rd, ,Atlanta,GA,30338,5805,DEKALB,33.92145,-84.29673,12/15/2009,1/31/2023
1477351,Briarcliff Quickmart  ,Convenience Store,2374,Briarcliff Rd NE,,Atlanta,GA,30329,2815,DEKALB,33.82445,-84.33456,11/3/2021, 
1416328,Brito Super Market N/A,Medium Grocery Store,3322,Chamblee Tucker Rd,,Atlanta,GA,30341,4353,DEKALB,33.88517,-84.25681,12/17/2020,5/10/2022
1504365,Brito Super Market  ,Medium Grocery Store,3322,Chamblee Tucker Rd,,Atlanta,GA,30341,4353,DEKALB,33.88517,-84.25683,7/11/2022, 
1105528,Brito Supermaket  2  ,Medium Grocery Store,3020,Buford Hwy Ne, ,Atlanta,GA,30329,1804,DEKALB,33.83638,-84.33702,8/29/2013,8/24/2014
290443,BRITO SUPERMARKET 4,Medium Grocery Store,3322,Chamblee Tucker Rd, ,Atlanta,GA,30341,4353,DEKALB,33.88474,-84.25677,9/8/2004,7/30/2007
309597,BRITO SUPERMARKET 2,Supermarket,3020,Buford Hwy NE, ,Atlanta,GA,30329,1804,DEKALB,33.83638,-84.33702,9/8/2004,7/30/2007
290443,BRITO SUPERMARKET 4,Medium Grocery Store,3322,Chamblee Tucker Rd, ,Atlanta,GA,30341,4353,DEKALB,33.88474,-84.25677,8/17/2009,8/19/2014
